"SN","Landmark","Alternate Names","Construction","Destruction","Maps Photo Should Appear on","Construction or Demolition Notes","Manner of Destruction","Use Image?","Image File Name","Year of Image","Image Type","Image Download Location","Image Caption","Usage notes","Download URL","Description","X Location","Neg Y Location","Y Location","Notes","Use Alternate Image 1?","Alternate Image 1 File Name","Year of Alternate Image 1","Alternate Image 1 Image Type","Alternate Image 1 Download Location","Alternate image 1 caption","Alternate Image 1 Usage Notes","Alternate Image 1 Download URL","Use Alternate Image 2?","Alternate Image 2 File Name","Year of Alternate Image 2","Alternate Image 2 Image Type","Alternate Image 2 Download Location","Alternate image 2 caption","Alternate Image 2 Usage Notes","Alternate Image 2 Download URL","lat","lng","qgisX","qgisY"
"44","City Hall and Market House (2nd)",,"1898","1935","1903, 1929",,"demolished","yes","city-hall-and-market-house-2nd-ca1900.jpg","ca 1900","photo","NPLSC",,"before 1928","https://cdm15769.contentdm.oclc.org/digital/collection/nr/id/348/rec/4","On January 2nd, 1897, the south end of the city hall and market house complex was damaged by a fire originating across the street in Lebeck Brothers' dry goods store. It is not clear how many market stalls were damaged, but the building on the north end was untouched. Over the next year, a larger city hall building with a single tower was built and was occupied in March 1898. The market stalls and the north end were demolished in 1935 in preparation for the construction of the current courthouse. The south end was left standing until 1937.","5117","-5457","5457","An 1829 notice in the Nashville Whig, announced the completion of a new Market House. Being 272 feet long and 62 feet wide with a two story structure at each. The rooms at the north end appropriated for use of the city corporation, the south end housed the museum of Dr. Troost. - The National Banner and Nashville Whig, Jan. 20, 1829.

City Market, 1870
Strange to say, Nashville has but one General Market-house, and, if we may be allowed the suggestion, would intimate a very inferior one at that. Instead of well-appointed marketplaces, distributed at convenient intervals throughout the City, like most of her rival sisters, the people of Nashville, from all quarters of the town, are compelled to resort to this mart for their supplies. However, in the absence of anything better arranged, or more attractive, as to appearanees, the place is liberally patronized, and its business necessarily gives employment to hurnlrcds of persons. A portion of the markethouse, as we understaud, was built about the year 1827 or '28. In 1855 it was enlarged and remodelled, and the addition of the City Hall made to it; but the work, as intended, was never fully carried out, as it was proposed to build a public hall, extending over the entire marketplace, and accessible from both the north and south ends. The present value of the markethouse is about $55,000. It is ___ feet long and ___ feet wide, and contains 100 stalls. These stalls are a source of considerable revenue to the city, and yield about $45,000 per annum.

City Hall. 1870
Although occupying the upper portion of the markethouse building, yet, our city hall is worthy of separate attention. If the design of the architect had been fully carried out, when the addition of the city hall was made to the markethouse, in 1855, it would have been, no doubt, much more attractive and convenient than at present. The public hall, as before stated, would have been immediately over the marketplace, and the present city hall, or halls, used only as office rooms for municipal dignitaries. As it is, they have no direct connection, and in reality, might be considered two buildings – being built, as they are, over the extreme ends of the building. They are each three stories high, and are surmounted each by two cupolas; one at every corner. The cupola at the southeast corner contains the central fire alarm bell, which is connected with the Eclipse Steam Engine Honse, adjoining. The second story of the south end is divided up into offices for the mayor, city auditor, city tax collectors, city treasurer, water tax collector, superintendent of the waterworks, city recorder, and police headquarters. The third story of the building is the recorder's, or city police, courtroom. The north end of the city hall is of similar size as the other, but in the interior is differently constructed. It has but one stairway, which leads up from the northwest corner. The second story is occupied entirely, save the stairway lobby, by the assembly rooms of the Board of Aldermen and Councilmen. The third story is occupied by an organization known as the Improved Order of Red Men, as a council chamber or ""wigwam"".

City Hall, 1880
That venerable establishment, which serves the City of Nashville the double purpose of City Hall and Market House, is among the oldest"" and most unsightly of all our public institutions, A portion of the building was erected in 1827 or 1828. In 1855, it was remodeled and enlarged, and the addition of the city hall made to it; but the work, as intended, was never fully carried out, as it was proposed to build a public hall, extending over the entire market-place, and accessible from both the north and south ends. Some years ago an effort was made to remove this building, but the projectors were met by the stubborn fact that the General Assembly of North Carolina, in 1784, reserved four acres (the present Public Square) for public buildings, and the question has never been settled, whether the city could divert the space to other purposes. The writer is not a prophet, but he dares prophesy that ten years from now the demands of progressive civilization will have removed the market-place, and on the present site thereof, a· superb and creditable City Hall will be erected. Furthermore, that the ""Public Square"" ""will lose its primitive nomenclature, and be· known to the next generation as ""City Hall Square,"" or ""Court Square."" The present building cost $55,000, .and on the first floor has 100 stalls. The upper stories contain the council chambers, and the offices of the municipal authorities.

City Hall, 1897
Nashville's City Hall, imposing three-story brick and stone building with tower, located on Public Square, completed. Planned since January 1896, when fire almost destroyed old building, construction progressed steadily during the past year. George Stainback, Bennet H. Beazley, and William T. Smith, recently elected chairman, Board of Public Works and Affairs, supervised construction. Mayor R.H. Dudley, members of Board of Public Works, and other officials occupy offices on second floor of City Hall, with first floor rental property and City Council Chambers on third floor.

1897 Fire
FIRE IN NASHVILLE. LARGE BUSINESS BUILDINGS WERE DESTROYED LAST NIGHT. Flames That Started in a Dry Goods Store Burned Over an Area of a Block and a Half.

Nashville, Tenn., January 3d, 12:30 a. m. —Lebeck Brothers, wholesale and retail dry goods; Grimes, Daily and Robinson, dry goods dealers, and the public market, having an area of a block and a half, have been totally destroyed by fire, which started about 11 o’clock. The fire started in Lebeck Brothers’. Lebeck’s insurance is $100,000. It is impossible to give others in detail, but insurance men approximate it at $700,000. The falling of the south wall of the Burns building did more to check the flames than anything else, completely burying in brick and mortar the small houses, and making a gap that the fire could not jump on Market street where it looked as though by the aid of the wind a tremendous conflagration was in progress. Crushing walls and showers of flaming sparks added terror to the occasion. The marvellous thing about the disaster is that no fatalities occurred. Lebeck Brothers, in whose building the fire started, are extensive wholesale and retail dry goods merchants. The fire originated in the second story of Lebeck Brothers and spread westward. At 12:30 A. M. a terrific wind arose from the southwest which fanned the flames into a fury. The City Hall and market, which is located opposite the ruined buildings, caught from sparks and was very seriously damaged. Burns & Co., harness manufacturers, located on Market street in the rear of Lebeck Bros., caught at 12:15 and was totally ruined. The total loss at this hour is estimated at $1,000,000. Telegrams have been sent to Louisville, Memphis and Chattanooga for help and the tire has little signs of abatement. At 1:05 o’clock tlie rear walls of the Burns saddlery store fell through the jewelry store of B. H. Stenf & Co., crushing a number of people. Charles Thompson is the only one reported seriously injured.","yes","city-hall-and-market-house-2nd-ca1905.jpg","ca 1905","photo","NPLSC",,"before 1928","https://cdm15769.contentdm.oclc.org/digital/collection/nr/id/7759/rec/2",,,,,,,,,"36.168251","-86.778618","53.03","45.09"
"45","City Reservoir",,"1889","extant","1903, 1929, 1952",,,"yes","city-reservoir-1.jpg",,"photo","NPLSC",,"1928 or later, author and copyright uncertain","https://digital.library.nashville.org/digital/collection/nr/id/6970/","The highest of a trio of hills guarding Nashville's southern approaches, Kirkpartrick's Hill was the site of Fort Casino during the Civil War. The fort was a cross-shaped blockhouse with earthen parapets on three sides that contained artillery. 
The elevation that made the hill a desirable location for a fort also made it a good location for the city's third reservoir, replacing the reservoir on Rolling Mill Hill. Construction of the reservoir began in 1886 and took three years to complete, obscuring all traces of the old fort. The walls are 34-feet high and can hold as much as 51 million gallons of water in two separate basins. Water was pumped from the Cumberland River into the western half of the reservoir, and silt was allowed to settle. The silt-free water then flowed into the eastern half, and from there was distributed to consumers.
A little after midnight on November 5th, 1912, the same day Woodrow Wilson was elected president, a segment of the reservoir's southeastern wall gave way. Years of slow seepage had undermined a section of wall on the reservoir's southeastern side. Millions of gallons of water cascaded down the hill, pushing away tons of earth and rock fill and scouring a portion of the hill down to the bedrock. Houses were washed off their foundations, and people floated out of their houses still in their beds. Remarkably, no one was killed in the disaster. The repaired section of the reservoir wall, about 175 feet in length, can still be distinguished today.","5080","-6085","6085",,"yes","city-reservoir-1912.jpg","1912","photo","TSLA Files",,"before 1928","https://sharetngov.tnsosfiles.com/tsla/exhibits/disasters/images/floods/3456.jpg (2)",,,,,,,,,"36.140344","-86.780638","52.67","38.68"
"46","Clover Bottom",,"1859","extant","1871, 1903, 1929, 1952",,,"yes","clover-bottom.jpg",,"photo","TSLA",,"date, copyright and author uncertain","https://tnsos.org/tsla/imagesearch/citation.php?ImageID=917","Built by Dr. James Hoggat (1798–1863) and his wife Mary Ann, the house was the center of the 1500-acre Clover Bottom Plantation. At the outbreak of the Civil War, the farm was worked by 60 slaves. It is now occupied by the Tennessee Historical Commission.",,,,"One of the South's most noted estates, scene of the famous horse race between General Andrew Jackson's ""Truxten"" and Col. Joseph Erwin's ""Ploughboy"" in 1806.",,,,,,,,,,,,,,,,,,,,
"47","Cole House",,,"extant",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48","Commerce Union Bank","Union Bank and Trust","1905","extant","1929, 1952",,," ","ubt-cub-ca1921.jpg","ca 1921","photo","TSLA",,,"https://tnsos.org/tsla/imagesearch/citation.php?ImageID=3697",,,,,"301 Union Street",,"ubt-cub-ca1910.jpg","ca 1910",,"Nashville Library",,,"https://digital.library.nashville.org/digital/collection/nr/id/2294/",,,,,,,,,,,,
"49","Confederate Soldiers Home",,"1892","1936","1903, 1929",,"demolished","yes","confederate-soldiers-home-ca1908.jpg","circa 1908","tinted photo","NPLSC",,"before 1928","https://digital.library.nashville.org/digital/collection/nr/id/663/rec/535","In 1856 the Jackson family sold 500 acres of the Hermitage property to the state, and in 1889 the legislature set aside 475 acres  for the Confederate Veterans Home. The same legislative act created the Ladies' Hermitage Association, which was instumemental in preserving the Hermitage. 700 Confederate veterans passed through the home in its 40-year existence. The building was demolished in two stages in 1936 and 1953. About 500 of the veterans are buried on the Hermitage grounds.",,,,,"yes","confederate-soldiers-home-ca1908.jpg","circa 1908","tinted photo","NPLSC",,"before 1928","https://digital.library.nashville.org/digital/collection/nr/id/663",,,,,,,,,,,,
"50","Corinthian Lodge 414","Broadway Presbyterian Church","1910","circa 2005","1929, 1952",,"demolished","yes","broadway-presbyterian-church-1911.jpg","1911","photo","NPLSC",,"before 1928","https://digital.library.nashville.org/digital/collection/nr/id/1035/rec/528","Built as the home of the Broadway Presbyterian Church about 1910, the church became Corinthian Lodge 414 in 1921. Beginning around 2005 the entire block, including the Corinthian lodge, was cleared and excavated for a large construction project that failed, leaving a block-sized, 80-foot-deep hole that was partly filled with water for 13 years. The body of water was derisively named Lake Palmer after the developer and appeared on Google Maps as such. In 2018 the land was sold to a new developer, and in the following year construction began on the Broadwest Building.","4842","-5738","5738",,,,,,,,,,,,,,,,,,"36.155858","-86.793791","50.23","42.22"
"51","County Courthouse (3rd)",,"1830","1856","none",,"burned","yes","county-courthouse-3rd-1.jpg",,"photo","NPLSC",,"before 1928","https://tnsos.org/tsla/imagesearch/citation.php?ImageID=26137","The first county courthouse was a log structure built in 1784. That humble structure was replaced by a second courthouse in 1802, and with that building already in disrepair by the 1820s, the third courthouse was built in 1830. Somehow the building housed not just local government but also the state supreme court, federal courts and the legislature. In April 1856 a fire that began in the Nashville Inn on the north side of the Public Square spread to the roof of the courthouse and eventually consumed it.",,,,,"yes","county-courthouse-3rd-2.jpg",,"photo","Nashville History on Facebook",,"before 1928","https://www.facebook.com/nashvillehistory/photos/p.1599968730199028/1599968730199028/?type=3",,,,,,,,,,,,
"52","County Courthouse (4th)",,"1863","1935","1871, 1903, 1929",,"demolished","ask","county-courthouse-4th-2.jpg",,"tinted photo","Influenza Archive",,"date, copyright and author uncertain","https://www.influenzaarchive.org/cities/city-nashville.html#","The fourth courthouse was designed by Francis Strickland (ca. 1818–1895), the son of the architect of the state capitol, William Strickland (1788–1854). A fourth floor was added in 1910. In 1935 this building was razed to make space for the fifth and current courthouse.",,,,,"yes","county-courthouse-4th-1.jpg",,"photo","Nashville History on Facebook",,"before 1928","https://www.facebook.com/nashvillehistory/photos/bc.AbqXR2gntkn5woGw7RZU8O7rC1bfSktiPHWnlt_FvEpFRLGWVmc5nBBnUaNlEqtL22dTniI3VQHuanSyAOGOdqyRsvPUepCdYwf4litk8iBCfYTuNZ9skMA-wLpdg8NVqLMvWwOIKEb7TBQJqBMgiStw/1599377753591459/?opaqueCursor=AbqrlJswCFxr4QL1pGhPmc-83z9i1kWwVmCodZkgQD68ts2_K2lcIHBiMkDyaKaTjlb_kf7EWBo0AgQjRdU8ynn4wwRCJ0sNPrkDahdX0N1jEZP7q31AyVnp8Wxc0lMeTymGuDpb41K-UoRH2v9bXnGVlOIrci44qfT4BSGRI1t4zfK6Y8MF1uLHa3FTJLIB6KnoGoX11K7clC6hmfn1XAkRCIGKTn3FlwJhkr03cIhTMaDkiojFN29yroM3c3U-_GMnKqQ-0xb1VnQYbfiDBjTGA7KhqmK8hCZNrQ8J-_VPn279TKL02TkLgT-ebq8A-RIBzjJhhJ6q9Uc5EPsIcv7hOBGUIMiG4TzXi_9F476e0k9gvRk7ylnw-R5l18jwoNs5feY204rrMhxdK1yTDkrCF0vg6f6Gmx0JCePKnyQoa9-Ir7gciURp9C6NMUdUtWZ2xtfmghQGFB5NyuI1v-e6bp3BuIg_cuR5_z7WnX6NUpAM9ZbwuWOnuk689kHMX6AU_rA8ReVhc16eI3FrBj0d-9SivneLM07_TTNnb3M4g4O-y8q24o3hRUqieBfxacMDoBRL6uyQISqxyUUS2mP5","yes","county-courthouse-4th-ca1930.jpg","ca1930","photo","Nashville Library",,"author and copyright status uncertain","https://digital.library.nashville.org/digital/collection/nr/id/319/rec/568",,,,
"53","County Courthouse (5th)",,"1937","extant","1952",,,"ask","county-courthouse-5th-1937.jpg","1937","photo","Living New Deal",,"1928 or later, author known, copyright uncertain","https://livingnewdeal.org/nashville-preserves-its-historic-courthouse/","The sole structure in the modern Public Square, the eight-story, New Deal-era courthouse replaced the two city hall buildings, the market house, and the pre-1935 courthouse.",,,,,,,,,,,,,,,,,,,,,,,,
"54","Cravath Hall","Erastus Milo Cravath Library","1930","extant","1952",,,"yes","cravath-hall.jpg",,"tinted photo","Wikipedia",,"public domain","https://commons.wikimedia.org/wiki/File:Fisk_University_Library,_Nashville,_Tenn_(74045).jpg","Fisk's Cravath Library replaced the 1909 library building built with funds from Andrew Carnegie, which by the 1920s was already deemed inadequate. Henry Hibbs (1882–1949) was chosen to design the new library, a remarkable fusion of Art Deco and Gothic. The Cravath Library served as Fisk's library from 1930 until 1969.","4649","-5458","5458","Erastus Milo Cravath-Memorial Library",,"cravath-hall-1969.png","1969","photo","TeVA",,,"https://teva.contentdm.oclc.org/digital/collection/p15138coll28/id/6695/rec/2","yes","cravath-hall-1955.png","1955","photo","TeVA",,"author and copyright status uncertain","https://teva.contentdm.oclc.org/digital/collection/p15138coll28/id/6690/rec/1","36.168376","-86.804456","48.26","45.07"
"55","Cummins Station",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"56","Customs House",,"1882","extant","1903, 1929, 1952",,,"yes","customs-house-1890s.jpg","1890s","photo","US Courts",,"before 1928","https://www.tnmb.uscourts.gov/brief-history-us-customs-house","First authorized in 1856, construction of the Customs House was delayed until 1877 by war and other factors. In that year President Rutherford Hayes laid the building's cornerstone. The building was expanded in 1905 and 1919. When it opened in 1882, it provided space for customs officials, federal courts, and the main post office. The post office decamped to a new building two blocks away in 1935, and after the federal courts moved next door in 1952, the building saw very little activity. After renovation in the 1980s, the federal bankruptcy court returned to the building. Three judges from the Sixth Circuit of the US Court of Appeals currently have offices in the building along with a number of federal agencies.",,,,,,,,,,,,,,,,,,,,,,,,
"57","Devon Farm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"58","Doctors Building",,"1916","extant","1929, 1952",,,"yes","doctors-building.jpg","circa 1920","photo","NPLSC",,"before 1928","https://digital.library.nashville.org/digital/collection/nr/id/314/","The Renaissance Revival Doctors Building, built on the site of the Edward Cole home, for many decades provided office space for medical professionals. In 2008 the building was converted into a hotel.","5033","-5560","5560","Edward Cole (1827–1899) ",,,,,,,,,,,,,,,,,"36.163702","-86.783252","52.18","44.04"
"59","Downtown Carnegie Library",,"1904","1963","1929, 1952",,"demolished","yes","downtown-carnegie-library-1914.jpg","1914","illustration","NPLSC",,"before 1928","https://digital.library.nashville.org/digital/collection/nr/id/785/","The library at 8th Avenue and Union Street was Nashville's first purpose-built public library, replacing the Howard Library located inside the Watkins Institute building. It was also the first of its four Andrew Carnegie-funded public libraries. The building was razed in 1963 to clear the property for the construction of the Ben West Library.","5016","-5550","5550",,"yes","downtown-carnegie-library-1905.jpg","1905","photo","NPLSC",,"before 1928","https://library.nashville.org/blog/2021/06/main-library-turns-20",,,,,,,,,"36.164153","-86.784191","52.00","44.14"
